Emma,20799
Olivia,19674
Sophia,18490
Isabella,16950
Ava,15586
Mia,13442
Emily,12562
Abigail,11985
Madison,10247
Charlotte,10048
Harper,9564
Sofia,9542
Avery,9517
Elizabeth,9492
Amelia,8727
Evelyn,8692
Ella,8489
Chloe,8469
Victoria,7955
Aubrey,7589
Grace,7554
Zoey,7358
Natalie,7061
Addison,6950
Lillian,6869
Brooklyn,6767
Lily,6727
Hannah,6512
Layla,6428
Scarlett,5965
Aria,5893
Zoe,5828
Samantha,5680
Anna,5639
Leah,5563
Audrey,5531
Ariana,5461
Allison,5440
Savannah,5433
Arianna,5240
Camila,5194
Penelope,5062
Gabriella,5051
Claire,4991
Aaliyah,4850
Sadie,4823
Riley,4761
Skylar,4732
Nora,4708
Sarah,4647
Hailey,4595
Kaylee,4513
Paisley,4473
Kennedy,4459
Ellie,4442
Peyton,4426
Annabelle,4324
Caroline,4307
Madelyn,4289
Serenity,4284
Aubree,4258
Lucy,4257
Alexa,4227
Alexis,4188
Nevaeh,4188
Stella,4165
Violet,4156
Genesis,4144
Mackenzie,4122
Bella,4050
Autumn,4034
Mila,4033
Kylie,3928
Maya,3904
Piper,3840
Alyssa,3798
Taylor,3782
Eleanor,3704
Melanie,3681
Naomi,3677
Faith,3664
Eva,3651
Katherine,3651
Lydia,3609
Brianna,3582
Julia,3578
Ashley,3539
Khloe,3518
Madeline,3409
Ruby,3383
Sophie,3364
Alexandra,3288
London,3264
Lauren,3072
Gianna,3061
Isabelle,3044
Alice,3042
Vivian,3040
Hadley,2992
Jasmine,2988
Morgan,2984
Kayla,2982
Cora,2945
Bailey,2929
Kimberly,2883
Reagan,2882
Hazel,2877
Clara,2833
Sydney,2831
Trinity,2781
Natalia,2778
Valentina,2769
Rylee,2753
Jocelyn,2744
Maria,2740
Aurora,2718
Eliana,2708
Brielle,2638
Liliana,2624
Mary,2611
Elena,2598
Molly,2578
Makayla,2559
Lilly,2550
Andrea,2543
Quinn,2539
Jordyn,2533
Adalynn,2512
Nicole,2511
Delilah,2496
Kendall,2432
Kinsley,2429
Ariel,2419
Payton,2397
Paige,2395
Mariah,2383
Brooke,2375
Willow,2373
